公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
广州合利宝支付科技有限公司,合利宝,150-500人,上市公司,天河区,产品经理,1-3年,本科,10k-18k,"发展空间大,专业培训,薪酬福利好,CBD办公"
广州市特蕾美生物科技有限公司,广州特蕾美,50-150人,未融资,天河区,高级产品经理,5-10年,本科,15k-25k,"扁平管理,自由发挥,下午茶点心,薪酬福利好"
广州云湾信息技术有限公司,云智易,50-150人,B轮,海珠区,产品经理,3-5年,本科,10k-15k,"年底双薪,职业培训,朝阳行业,职位晋升"
浙江星飞信息技术有限公司,星飞,150-500人,天使轮,天河区,产品经理,1-3年,本科,15k-25k,"五险一金,年度奖金,餐补,周末双休"
美的集团股份有限公司,美的集团IT,2000人以上,上市公司,番禺区,产品经理,5-10年,本科,15k-25k,"六险一金,餐补,节日福利,免费体检"
广州久邦世纪科技有限公司,久邦GOMO,500-2000人,上市公司,越秀区,高级产品经理,3-5年,本科,15k-30k,"弹性上班,交通便利,团队奖金,扁平管理"
全城握手（广州）科技有限公司,全城握手,15-50人,天使轮,天河区,产品经理,3-5年,本科,10k-15k,"多次调薪,五险一金,福利齐全,员工旅游"
广州游莱信息科技有限公司,Game Hollywood,150-500人,上市公司,海珠区,产品经理,3-5年,大专,10k-15k,"靠谱公司,靠谱游戏,靠谱团队"
广东医务通信息技术有限公司,南方医务通,15-50人,不需要融资,海珠区,产品经理,1-3年,本科,5k-10k,"五险一金,周末双休,氛围好,发展空间大"
广州荔支网络技术有限公司,荔枝,150-500人,D轮及以上,天河区,产品经理,1-3年,本科,20k-25k,发展空间大
天津爱波瑞科技发展有限公司,爱波瑞,150-500人,A轮,白云区,产品经理,3-5年,本科,15k-30k,"五险一金,季度奖金,双休,加班补贴"
广州极天信息技术股份有限公司,极天信息,50-150人,A轮,海珠区,产品经理,3-5年,本科,10k-20k,规范的管理、好的福利待遇、轻松的工作氛围
广州欢拓网络科技有限公司,欢拓网络,15-50人,A轮,天河区,产品经理,1-3年,大专,8k-12k,"餐饮补贴,年度旅游,节日福利"
广州市中智软件开发有限公司,中智软件,150-500人,不需要融资,越秀区,产品经理,3-5年,本科,10k-15k,"绩效奖金,下午茶,年终奖"
广东灵机文化传播有限公司,灵机文化,150-500人,不需要融资,天河区,产品经理,1-3年,本科,8k-15k,福利好
广东俊特团贷网络信息服务股份有限公司,团贷网,2000人以上,C轮,天河区,产品经理,3-5年,本科,8k-15k,"TOP10,发展快,福利全,空间大"
氪金信息科技（天津）有限公司,Codrim,15-50人,天使轮,天河区,产品经理,1-3年,大专,10K-20K,"五险一金,双休,岗位职责,活动多"
广东影子教育信息科技有限公司,广东影子教育信息科技有限公司,15-50人,不需要融资,越秀区,产品经理,3-5年,本科,10k-15k,"团队棒！,老板好！,发展前景大,工作氛围好"
上海提捺信息科技有限公司,上海提捺信息科技有限公司,500-2000人,不需要融资,海珠区,产品经理,3-5年,大专,15k-20k,"出国机会,餐房补贴,假日双休,年底分红"
广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,不需要融资,白云区,高级产品经理,3-5年,本科,20k-30k,"大型电商,海量数据"
广州至真信息科技有限公司,至真信息,150-500人,A轮,天河区,产品经理,1-3年,本科,12k-20k,社会保险，年终奖金，年度旅游
广东客天下科技有限公司,客天下科技有限公司,50-150人,不需要融资,天河区,产品经理/副总监,3-5年,本科,10k-15k,"周末双休,13薪,节日福利"
广东天泽阳光康众医疗投资管理有限公司,阳光康众,50-150人,A轮,海珠区,高级产品经理,3-5年,大专,10k-20k,"双休,七险一金,带薪假期,节日福利"
铂涛信息技术（广州）有限公司,铂涛旅行,500-2000人,未融资,海珠区,高级产品经理,5-10年,本科,20k-33k,"五险一金,绩效奖金,周末双休,超一亿会员"
广州市百果园网络科技有限公司,Bigo,500-2000人,D轮及以上,番禺区,产品经理,1-3年,本科,10k-20k,"发展空间大,工作氛围好,薪酬福利好,团队大牛多"
广州卓艺文化传媒有限公司,卓艺传媒,少于15人,未融资,番禺区,产品经理,1-3年,本科,10k-15k,"五险一金,期权鼓励,带薪年假,节日福利"
广州数夫软件科技有限公司,数夫软件,150-500人,未融资,天河区,互联网产品经理,3-5年,本科,10k-20k,"五险一金,年终奖金,员工旅游,专业培训"
广州多益网络股份有限公司,多益网络,500-2000人,不需要融资,萝岗区,产品经理,不限,不限,13k-26k,互联网百强
广州天行客网络科技有限公司,广州天行客,50-150人,不需要融资,天河区,产品经理,3-5年,大专,8k-13k,"五险一金,绩效奖金,餐饮补贴,团队氛围好"
广州市万表科技股份有限公司,万表,150-500人,B轮,番禺区,电商产品经理,3-5年,本科,10k-20k,"平台发展好,周末双休,五险一金,包工作餐"
深圳市世云新媒体有限公司,互动大师iH5.cn,50-150人,B轮,海珠区,产品经理,1-3年,本科,8k-16k,"领域第一,产品很强,产品地位高,带薪年假"
国辰(广州)信息科技有限公司,国辰科技,15-50人,不需要融资,番禺区,产品经理,3-5年,本科,9k-15k,富有挑战
广州合摩计算机科技有限公司,爱员工,150-500人,B轮,天河区,产品经理,3-5年,本科,15k-30k,"拟上市公司,开放氛围,共享,团队融洽"
广州市巴图鲁信息科技有限公司,巴图鲁公司,150-500人,C轮,海珠区,产品经理,1-3年,本科,8k-15k,弹性制、双休制、扁平化、oh思维活跃~
广州六一信息科技有限公司,六一教育,150-500人,A轮,天河区,产品经理,不限,本科,6k-9k,"周末双休,五险一金,弹性上班,年底双薪"
广州跨界网络技术有限公司,跨界网络,50-150人,不需要融资,越秀区,产品经理,3-5年,大专,10k-16k,"社保,旅游,晋升,奖金"
广东健客医药有限公司,健客网,500-2000人,A轮,萝岗区,供应链产品经理,1-3年,本科,10k-20k,"大平台,发展空间大"
广州华多网络科技有限公司,欢聚时代（YY Inc）,2000人以上,上市公司,番禺区,产品经理,3-5年,不限,12k-24k,"一线互联网,平台大,机会多,福利好"
广州思勘测绘技术有限公司,思勘,15-50人,不需要融资,天河区,产品经理,1-3年,本科,8k-15k,"年终分红,带薪年假,定期体检,五险一金"
京滴信息科技（广州）有限公司,京滴科技,15-50人,A轮,天河区,产品经理,1-3年,本科,8k-15k,"五险一金,股份期权,晋升空间大,帅哥美女多"
广州新炬信息科技有限公司,IMPLUS,15-50人,不需要融资,天河区,中高级产品经理,3-5年,本科,15k-30k,"发挥空间大,弹性灵活,福利赞,锻炼英文"
广州艺威电子科技有限公司,广州艺威电子科技有限公司,50-150人,不需要融资,白云区,产品经理,1-3年,不限,1k-2k,"年终分红,五险一金,全勤然,绩效奖金"
深圳市对庄科技有限公司,对庄科技,15-50人,A轮,荔湾区,产品经理,3-5年,大专,10K-18K,工作稳定，高成长空间，靠谱产品，靠谱团队
广州易房秀信息科技有限公司,易房秀,15-50人,未融资,海珠区,产品经理,3-5年,大专,10k-18k,"五险,领导nic,氛围好,多好吃的"
广州医加多医疗股份有限公司,医加多,15-50人,未融资,白云区,产品经理,1-3年,本科,5k-10k,"创业公司,五险一金,带薪年假,节日福利"
广州卖家宝信息技术咨询有限公司,卖家宝,150-500人,不需要融资,天河区,产品经理,3-5年,大专,8k-16k,"年假7天,年终奖,季度活动,餐费补贴"
广州美迪迪网络科技有限公司,美迪迪,50-150人,不需要融资,番禺区,产品经理,1-3年,大专,10k-12k,"双休,五险一金,近地铁,环境高大上"
广州智美时代科技有限公司,智美时代,15-50人,未融资,天河区,高级产品经理,5-10年,本科,15k-25k,"双休,年终奖金,五险一金,各种补贴"
广州经传多赢投资咨询有限公司,经传多赢,2000人以上,不需要融资,番禺区,产品经理/产品专员,1-3年,本科,6k-12k,"五险一金,绩效奖金,年底多薪,员工旅游"
广东曼拓信息科技有限公司,广东曼拓信息科技有限公司,50-150人,上市公司,天河区,DSP产品经理/高级产品经理,5-10年,本科,15k-25k,"定期体检,六险一金,年度旅游,良好的氛围"
北京尚德在线教育科技有限公司,尚德机构,2000人以上,上市公司,天河区,高级产品经理,3-5年,本科,28k-35k,"互联网教育,朝阳行业"
广州七乐康药业连锁有限公司,七乐康,500-2000人,C轮,荔湾区,供应链产品经理,3-5年,本科,10k-20k,"互联网医疗,地铁旁,双休,弹性工作"
广州真境信息科技有限公司,真境,15-50人,天使轮,天河区,产品经理,1-3年,大专,10k-15k,"五险一金,带薪年假,双休,节假日福利"
广州三尺信息科技有限公司,三尺科技,50-150人,A轮,天河区,高级产品经理,3-5年,本科,12k-18k,"自家产品,用户规模大,微信服务商,技术大牛"
广州卓术信息科技有限公司,卓术信息,15-50人,不需要融资,天河区,产品经理,1-3年,本科,8k-15k,期权、钱多心不类、氛围好
广州南贯五洲电子商务有限公司,南贯五洲,150-500人,B轮,天河区,产品经理（D）,1-3年,大专,10k-15k,"周末双休,五险"
恒大地产集团珠三角房地产开发有限公司,恒大珠三角公司,2000人以上,上市公司,天河区,产品经理,5-10年,本科,20k-33k,500强
