公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
上海游民网络科技有限公司,3K游戏,150-500人,不需要融资,天河区,"游戏,移动互联网",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,不限,8k-15k,"六险一金,高额奖金,团队活跃,海外旅游","['3', '5']",4.0,"['8', '15']",9.75
北京瑞地科技有限公司,REDEFINE,150-500人,不需要融资,天河区,移动互联网,高级产品经理--海外用户增长商业化,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,25k-40k,"五险一金,期权,带薪年假,弹性工作","['3', '5']",4.0,"['25', '40']",28.75
广州酷狗计算机科技有限公司,酷狗音乐,500-2000人,不需要融资,天河区,"移动互联网,文化娱乐",CXBU-产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-20k,大平台,"['1', '3']",2.0,"['10', '20']",12.5
上海提捺信息科技有限公司,上海提捺信息科技有限公司,500-2000人,不需要融资,海珠区,"社交网络,游戏",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,15k-20k,"出国机会,餐房补贴,假日双休,年底分红","['3', '5']",4.0,"['15', '20']",16.25
广州君海网络科技有限公司,君海游戏,150-500人,上市公司,海珠区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,8k-15k,"手游,数据分析,产品","['1', '3']",2.0,"['8', '15']",9.75
广州数说故事信息科技有限公司,DataStory,150-500人,B轮,海珠区,数据服务,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-20k,"创业期权,扁平管理,弹性工作","['3', '5']",4.0,"['10', '20']",12.5
广州智美时代科技有限公司,智美时代,15-50人,未融资,天河区,移动互联网,高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,15k-25k,"双休,年终奖金,五险一金,各种补贴","['5', '10']",7.5,"['15', '25']",17.5
广州铠源信息科技有限公司,铠源科技,50-150人,不需要融资,天河区,数据服务、信息安全,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"高速发展,扁平管理,敏捷开发,团队融洽","['3', '5']",4.0,"['10', '15']",11.25
广州回头车信息科技有限公司,省省回头车,15-50人,A轮,天河区,生活服务,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,10k-18k,"周末双休,弹性工作,五险齐全,带薪年假","['1', '3']",2.0,"['10', '18']",12.0
广州至真信息科技有限公司,至真信息,150-500人,A轮,天河区,移动互联网,产品经理,全职,产品,产品经理,1-3年,本科,12k-20k,社会保险，年终奖金，年度旅游,"['1', '3']",2.0,"['12', '20']",14.0
广州市拿火信息科技有限公司,拿火音乐,15-50人,不需要融资,越秀区,移动互联网,产品经理,全职,产品,产品经理,1-3年,本科,8k-15k,引领艺术教育创新。,"['1', '3']",2.0,"['8', '15']",9.75
航天精一（广东）信息科技有限公司,航天精一,150-500人,上市公司,天河区,"移动互联网,数据服务",中级产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,7k-12k,"周末双休,项目奖金,晋升渠道,六险一金","['1', '3']",2.0,"['7', '12']",8.25
广州龙腾出行网络科技股份有限公司,龙腾出行,150-500人,上市公司,越秀区,"O2O,旅游",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,12k-24k,"发展空间,千万级","['1', '3']",2.0,"['12', '24']",15.0
广州美啊教育有限公司,美啊教育,15-50人,天使轮,天河区,"移动互联网,教育",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"设计教育,接触大咖,办公环境好","['3', '5']",4.0,"['10', '15']",11.25
